iso3,country,hdicode,region,hdi_rank_2021,hdi_1990,hdi_2021,le_1990,le_2021,eys_1990,eys_2021,mys_1990,mys_2021,gnipc_1990,gnipc_2021,gdi_group_2021,gdi_1990,gdi_2021,hdi_f_1990,hdi_f_2021,le_f_1990,le_f_2021,eys_f_1990,eys_f_2021,mys_f_1990,mys_f_2021,gni_pc_f_1990,gni_pc_f_2021,hdi_m_1990,hdi_m_2021,le_m_1990,le_m_2021,eys_m_1990,eys_m_2021,mys_m_1990,mys_m_2021,gni_pc_m_1990,gni_pc_m_2021,ihdi_2010,ihdi_2021,coef_ineq_2010,coef_ineq_2021,loss_2010,loss_2021,ineq_le_2010,ineq_le_2021,ineq_edu_2010,ineq_edu_2021,ineq_inc_2010,ineq_inc_2021,gii_rank_2021,gii_1990,gii_2021,mmr_1990,mmr_2021,abr_1990,abr_2021,se_f_1990,se_f_2021,se_m_1990,se_m_2021,pr_f_1990,pr_f_2021,pr_m_1990,pr_m_2021,lfpr_f_1990,lfpr_f_2021,lfpr_m_1990,lfpr_m_2021,rankdiff_hdi_phdi_2021,phdi_1990,phdi_2021,diff_hdi_phdi_1990,diff_hdi_phdi_2021,co2_prod_1990,co2_prod_2021,mf_1990,mf_2021,pop
TUR,Turkey,Very High,ECA,48,0.6,0.838,67.7092,76.0324,9.055789948,18.3382206,4.455356985,8.63313961,13000.46723,31032.80106,3,0.829,0.937,0.536830306,0.806205301,71.4096,79.1213,7.750919819,17.85655022,3.277997839,7.87033987,6625.951828,19079.35047,0.647224919,0.860285269,64.3563,73.0397,10.27293968,18.81937981,5.637766586,9.411600113,19263.39613,42928.78948,0.624,0.717,16.6335571,14.195661,16.68891856,14.43914081,10.49600315,5.864824295,17.50469907,13.64287582,21.89996908,23.07928288,65,0.611,0.272,66,17,64.443,16.884,11.50888714,56.30186081,24.9223825,75.94152832,2.363636364,17.33333333,97.63636364,82.66666667,34.306,31.843,80.065,69.407,14,0.563,0.741,6.166666667,11.575179,2.809784028,4.657320907,8.7,17.49,84680
TUV,Tuvalu,Medium,EAP,130,0.559,0.641,61.6615,64.5466,10.15764046,9.40443,7.130229363,10.57310772,3197.71048,6351.435899,,,,,,64.3663,69.1378,10.05877018,9.46434,6.618752505,10.3877,,,,,58.7778,60.8155,10.28783035,9.34623,7.792654365,10.7575,,,0.508,0.541,17.3902665,15.49879814,17.53246753,15.60062402,18.31241608,14.37229443,10.499,9.17696,23.35938341,22.94714,,,,,,46.984,33.085,17.48614072,60.04902649,30.4702787,60.71810913,8.333333333,6.25,91.66666667,93.75,,,,,,,,,,1.233254796,0.641460312,,,11
TZA,Tanzania (United Republic of),Low,SSA,160,0.371,0.549,51.4849,66.2007,5.693888074,9.221489906,3.329101206,6.37289871,1343.355022,2664.329096,3,0.86,0.943,0.343378645,0.53248359,53.5135,68.3107,5.623081931,9.296609879,2.282125748,5.923837807,1122.966168,2246.736181,0.399397652,0.564766693,49.5488,64.1827,5.764112981,9.149600029,4.519014535,6.892428824,1568.627407,3091.93102,0.361,0.418,26.61693416,23.69202603,26.77484787,23.86156648,29.46672249,21.7159481,29.5,26.96013,20.88408,22.4,146,0.659,0.56,1030,524,135.983,123.652,2.402304238,13.00208063,6.694784649,19.10147619,17.45454545,36.8556701,82.54545455,63.1443299,84.187,79.528,89.034,87.098,8,0.367,0.544,1.078167116,0.910746812,0.083808641,0.183121172,2.1,1.58,61281
UGA,Uganda,Low,SSA,166,0.329,0.525,46.4426,62.7048,5.721580029,10.14986994,3.175858623,5.730941566,897.0248379,2181.43651,3,0.797,0.927,0.290264819,0.504881399,48.992,64.9197,4.956319809,10.15034489,2.117182455,4.896921296,673.6185638,1877.430317,0.36416084,0.544620452,43.9179,60.4228,6.484079838,10.11118149,4.322087152,6.683393581,1131.838493,2491.502595,,0.396,,24.41962152,,24.57142857,30.36044884,20.4040966,32.2,27.91438,,24.94038796,131,0.661,0.53,735,375,177.405,107.938,6.143556603,29.34,16.01722714,36.32,18.11594203,33.81294964,81.88405797,66.18705036,61.96,64.172,76.798,71.306,5,0.325,0.52,1.215805471,0.952380952,0.043841928,0.106954357,2.38,1.92,42886
UKR,Ukraine,High,ECA,77,0.729,0.773,69.8024,71.624,12.37267971,14.95656854,9.276183691,11.13142043,16779.60025,13255.50977,1,1.011,1.012,0.730859328,0.775709542,74.4577,76.7002,13.09650527,14.99265633,8.973994422,11.45783104,13125.18187,10369.86856,0.723262321,0.766191935,64.8128,66.5312,11.64885415,14.93059899,9.59338308,10.72236653,21029.21811,16604.74201,0.705,0.726,7.629402518,5.967098327,7.722513089,6.080206986,7.76504612,5.777312279,6.1,3.59926,9.023161435,8.524722702,49,0.471,0.2,45,19,58.033,15.642,75.04355196,96.1699095,83.36350455,95.79626511,3.777777778,20.80378251,96.22222222,79.19621749,53.521,48.098,66.712,63.567,11,,0.703,,9.055627426,13.71526261,4.891161661,,11.91,41130
URY,Uruguay,Very High,LAC,58,0.701,0.809,73.1617,75.4356,12.88957024,16.83259964,7.151282631,8.982549667,10699.72084,21268.88122,1,1.033,1.022,0.69265841,0.812179016,77.2361,79.2583,12.93644793,17.32807722,7.759184583,9.251560211,6854.425179,17125.29225,0.670502779,0.79450292,69.2419,71.6545,10.20784548,15.44421384,6.556600541,8.6769104,14734.35786,25680.32918,0.664,0.71,15.02856389,11.83641913,15.62897078,12.23733004,7.950146675,5.416339397,8.40132,6.54951,28.734225,23.543408,58,0.433,0.235,38,17,62.495,36.226,43.63466818,59.55147171,35.37261542,55.45653915,6.923076923,26.15384615,93.07692308,73.84615385,43.073,54.778,72.776,69.25,15,0.652,0.733,6.990014265,9.394313968,1.275822847,1.681218748,12.92,17.49,3555
USA,United States,Very High,,21,0.872,0.921,75.3699,77.1982,15.41786003,16.28097916,12.98377037,13.68342972,39472.3021,64765.21509,1,0.987,1.001,0.864349192,0.919688967,78.8429,80.238,15.84033966,16.93508911,12.88052807,13.73783016,29087.56227,51538.95551,0.875303353,0.919186122,71.8499,74.2999,15.02285957,15.64476967,13.08701267,13.62497997,50300.03067,78238.21408,0.805,0.819,11.10331883,10.63809158,11.63556531,11.07491857,5.858852863,5.946424961,2.912103641,2.745849765,24.539,23.222,44,0.294,0.179,11,19,60.633,15.966,90.87353431,96.54834747,81.47627712,96.36666107,11.21495327,26.96629213,88.78504673,73.03370787,56.539,55.227,74.957,66.437,-36,0.628,0.698,27.98165138,24.21281216,20.28180403,14.23786361,28.34,29.65,333333
UZB,Uzbekistan,High,ECA,101,,0.727,65.3456,70.8616,11.31336975,12.47714043,,11.89558983,3472.614754,7916.785725,3,,0.944,,0.702783954,68.3076,73.3899,,12.37631989,,11.73186016,2472.704175,5427.358367,,0.744266009,62.3436,68.3335,,12.57161999,,12.06482983,4470.631733,10402.95193,,,,,,,15.98412037,8.517651558,,0.550110115,20.07272,,56,,0.227,52,29,43.569,15.859,,99.87657928,,99.95916748,6,28.74493927,94,71.25506073,53.749,44.898,77.219,70.916,25,,0.688,,5.364511692,5.074714874,3.369793419,,6.12,35935
VCT,Saint Vincent and the Grenadines,High,LAC,89,,0.751,72.3797,69.6291,11.70584267,14.67220567,,10.83343029,6185.527922,11961.08792,2,,0.97,,0.73874214,74.9827,72.3958,12.74893683,14.90442804,,10.92370987,3687.431383,8720.223778,,0.761469,69.8295,67.354,10.71306321,14.45880707,,10.74547958,8627.868182,15074.89757,,,,,,,11.96305847,9.120908737,,9.166052393,,,94,,0.39,82,68,96.492,47.871,,44.06853867,,39.61914825,9.523809524,18.18181818,90.47619048,81.81818182,43.961,52.913,81.186,74.1,,,,,,0.749953481,1.882819542,,,111
VEN,Venezuela (Bolivarian Republic of),Medium,LAC,120,0.659,0.691,71.5319,70.5536,10.48841953,12.81608,5.338530064,11.10727736,16424.636,4810.882621,1,,0.983,,0.679218478,73.8571,75.2072,,13.81196,5.221179962,11.36222007,10041.61263,2865.793869,,0.690932232,69.2929,66.2592,,11.8202,5.461279869,10.84877,22775.1836,6795.863793,0.633,0.592,16.11106917,14.16183998,16.1589404,14.32706223,11.40028954,12.81492996,17.53291796,8.67058997,19.4,21,123,0.563,0.492,131,125,97.802,82.715,23.36972046,79.84323438,24.16876984,75.37381958,6.324110672,22.15568862,93.67588933,77.84431138,47.143,34.348,80.668,67.813,9,0.608,0.645,7.738998483,6.657018813,6.205117848,2.975442345,6.88,9.6,28302
